lspe_id,nama_daerah,mainprocurementcategory,award_value_p99,days_to_award_p95,budget_ratio_p05,budget_ratio_p95
42,Jawa Tengah,Goods,11775883418.999962,37.0,0.6754776364075593,0.9966130215880781
42,Jawa Tengah,Services,21169433065.0,54.0,0.7819051556132994,0.9964877438224204
42,Jawa Tengah,Works,29615021590.63184,53.0,0.7258185896607349,0.9800294163288501
