lspe_id,nama_daerah,date,buyer_name,tender_title,mainprocurementcategory,tender_minvalue,tender_status,award_title,award_date,award_value,award_supplier,days_to_award,budget_utilization_ratio
42,Jawa Tengah,2017-04-28,Pemerintah Daerah Provinsi Jawa Tengah,"Pekerjaan Inventarisasi Dan Studi Kelayakan Potensi Air Untuk Pembangkit Listrik Wilayah Sungai (Ws) Pemali Comal (Kab. Tegal, Pemalang, Pekalongan, Brebes, Batang, Kota Tegal Dan Kota Pekalongan)",Services,185000000.0,Complete,"Pekerjaan Inventarisasi Dan Studi Kelayakan Potensi Air Untuk Pembangkit Listrik Wilayah Sungai (Ws) Pemali Comal (Kab. Tegal, Pemalang, Pekalongan, Brebes, Batang, Kota Tegal Dan Kota Pekalongan)",2017-04-28,183010000.0,Pt. Java Desain Consultan,15,0.9892432432432432
42,Jawa Tengah,2017-05-02,Pemerintah Daerah Provinsi Jawa Tengah,Pengadaan Aspal Curah Kab. Batang,Goods,245943000.0,Complete,Pengadaan Aspal Curah Kab. Batang,2017-05-02,222314400.0,Prima Lestari,19,0.90392651955941
42,Jawa Tengah,2017-05-05,Pemerintah Daerah Provinsi Jawa Tengah,Embung Alastuwo Kab. Karanganyar,Works,2500000000.0,Complete,Embung Alastuwo Kab. Karanganyar,2017-05-05,2173052000.0,Cv. Mukti Jaya,22,0.8692208
42,Jawa Tengah,2017-05-08,Pemerintah Daerah Provinsi Jawa Tengah,"Pengadaan Akomodasi, Transportasi Dan Konsumsi Benchmarking Diklat Kepemimpinan Tk. Iv Tahap Iii",Services,288510000.0,Complete,"Pengadaan Akomodasi, Transportasi Dan Konsumsi Benchmarking Diklat Kepemimpinan Tk. Iv Tahap Iii",2017-05-08,284119800.0,Pt. Pesona Permata Buana,12,0.9847831964230008
42,Jawa Tengah,2017-05-12,Pemerintah Daerah Provinsi Jawa Tengah,Rehabilitasi Jbt. Kepuh Iii (Ruas Sukoharjo-Nguter),Works,2599988000.0,Complete,Rehabilitasi Jbt. Kepuh Iii (Ruas Sukoharjo-Nguter),2017-05-12,2236872225.48,Bimapatria Pradanaraya,24,0.8603394421358868
42,Jawa Tengah,2017-05-12,Pemerintah Daerah Provinsi Jawa Tengah,Gedung Laboratorium Penelitian Dan Pengembangan (Litbang) Tahap I,Works,2696781000.0,Complete,Gedung Laboratorium Penelitian Dan Pengembangan (Litbang) Tahap I,2017-05-12,2398637000.0,Pt. Sinar Putra Mahaba,21,0.8894444895599606
42,Jawa Tengah,2017-05-12,Pemerintah Daerah Provinsi Jawa Tengah,"Pengadaan Akomodasi, Transportasi Dan Konsumsi Benchmarking Diklat Kepemimpinan Tk. Iii Tahap Iii",Services,263500000.0,Complete,"Pengadaan Akomodasi, Transportasi Dan Konsumsi Benchmarking Diklat Kepemimpinan Tk. Iii Tahap Iii",2017-05-12,258600000.0,Pt. Hallo Wisata,17,0.9814041745730552
42,Jawa Tengah,2017-05-12,Pemerintah Daerah Provinsi Jawa Tengah,Pengadaan Pupuk Organik,Goods,615000000.0,Complete,Pengadaan Pupuk Organik,2017-05-12,402000000.0,Cv Jaya Santosa,17,0.6536585365853659
42,Jawa Tengah,2017-05-12,Pemerintah Daerah Provinsi Jawa Tengah,Kompetisi Pasar Rakyat 2017 Di 35 Kabupaten/Kota,Services,118000000.0,Complete,Kompetisi Pasar Rakyat 2017 Di 35 Kabupaten/Kota,2017-05-12,117700000.0,Cv.Integrated Consultans (Cv. Icon),13,0.997457627118644
42,Jawa Tengah,2017-05-15,Pemerintah Daerah Provinsi Jawa Tengah,Penggantian Jbt. Batu Merah Km.Pkl. 104 + 060 Ruas Jalan Morongso - Tuwel - Sirampog,Works,1499820000.0,Complete,Penggantian Jbt. Batu Merah Km.Pkl. 104 + 060 Ruas Jalan Morongso - Tuwel - Sirampog,2017-05-15,1212066000.0,Cv. Dulchomindo,18,0.8081409769172301
