raw_feature,importance_mean,importance_std
award_value_per_day,0.25383334196387736,0.00860017865923008
log_tender_minvalue,0.12407781063873631,0.002116287468449477
mainprocurementcategory,0.12075980142846018,0.006792714355906347
tender_minvalue,0.1173530285859771,0.002114829831374145
award_month,0.05315152737549485,0.0027640459095458598
title_word_count,0.04300292866170404,0.0006342293939444917
award_title_word_count,0.04064643590573228,0.0007247938648585674
award_quarter,0.02636823140050316,0.0014451158513210328
days_to_award,0.017911369265248077,0.0012285413436484078
value_gap,0.01731004520405205,0.0011475272044485947
log_award_value,0.011922543056232937,0.0006134645774408695
budget_utilization_ratio,0.011860012062942982,0.0009676058429187928
award_value,0.011490928761128328,0.0005487445627566791
award_weekday,0.008407454657173774,0.0003675123094061855
supplier_count,0.00012403834586708352,8.75239903498513e-05
same_day_award_flag,0.0,0.0
