ocid,release_id,date,buyer_name,buyer_id,tender_id,tender_title,mainProcurementCategory,tender_minValue,tender_datePublished,tender_status,award_id,award_title,award_date,award_value,award_supplier
ocds-20h3g7-26664127,ocds-20h3g7-26664127-1,2015-05-25T00:00:00.000000Z,,D73,26664127,Penyediaan Makanan dan Minuman WBS PSTW Budi Mulia 4  ,goods,877787560.0,2015-05-12T00:00:00.000000Z,complete,26664127-1,Penyediaan Makanan dan Minuman WBS PSTW Budi Mulia 4  ,2015-05-25T00:00:00.000000Z,797930410.0,CV. KARINA LESTARI
ocds-20h3g7-26665127,ocds-20h3g7-26665127-1,2015-05-25T00:00:00.000000Z,,D73,26665127,Penyediaan Makanan dan Minuman WBS PSBL Harapan Sentosa 1,goods,3744982770.0,2015-05-12T00:00:00.000000Z,complete,26665127-1,Penyediaan Makanan dan Minuman WBS PSBL Harapan Sentosa 1,2015-05-25T00:00:00.000000Z,3514342250.0,CV. BAMA INDONESIA
ocds-20h3g7-26666127,ocds-20h3g7-26666127-1,2015-05-26T00:00:00.000000Z,,D75,26666127,Penyediaan Makanan dan Miinuman WBS PSBI Bangun Daya 1,goods,2499983240.0,2015-05-11T00:00:00.000000Z,complete,26666127-1,Penyediaan Makanan dan Miinuman WBS PSBI Bangun Daya 1,2015-05-26T00:00:00.000000Z,2232377200.0,CV.ALAM PERMAI
ocds-20h3g7-26667127,ocds-20h3g7-26667127-1,2015-06-09T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26667127,Penyediaan Bahan dan Pangan Permakanan WBS PSTW Budi Mulia 2,goods,1925770155.0,2015-05-11T00:00:00.000000Z,complete,26667127-1,Penyediaan Bahan dan Pangan Permakanan WBS PSTW Budi Mulia 2,2015-06-09T00:00:00.000000Z,1712338560.0,CV. USAHA SELARAS
ocds-20h3g7-26668127,ocds-20h3g7-26668127-1,2015-05-25T00:00:00.000000Z,,D73,26668127,Belanja Bahan dan Pangan,goods,799670066.0,2015-05-11T00:00:00.000000Z,complete,26668127-1,Belanja Bahan dan Pangan,2015-05-25T00:00:00.000000Z,735217206.0,CV. SAMJAYA MANDIRI
ocds-20h3g7-26672127,ocds-20h3g7-26672127-1,2015-05-25T00:00:00.000000Z,,D73,26672127,Penyediaan Makanan dan Minuman WBS PSPP Khusnul Khotimah,goods,1029708700.0,2015-05-12T00:00:00.000000Z,complete,26672127-1,Penyediaan Makanan dan Minuman WBS PSPP Khusnul Khotimah,2015-05-25T00:00:00.000000Z,885417880.0,CV.ALAM PERMAI
ocds-20h3g7-26676127,ocds-20h3g7-26676127-1,2015-05-25T00:00:00.000000Z,,D74,26676127,Penyediaan Makanan dan Minuman WBS  PSBI Bangun Daya 2,goods,1417725740.0,2015-05-13T00:00:00.000000Z,complete,26676127-1,Penyediaan Makanan dan Minuman WBS  PSBI Bangun Daya 2,2015-05-25T00:00:00.000000Z,1298493000.0,CV. AFIF ARTHA MULIA
ocds-20h3g7-26678127,ocds-20h3g7-26678127-1,2015-05-25T00:00:00.000000Z,,D74,26678127,Penyediaan Makan dan Minuman WBS Panti Sosial Bina Laras Harapan Sentosa 2,goods,5351518091.0,2015-05-13T00:00:00.000000Z,complete,26678127-1,Penyediaan Makan dan Minuman WBS Panti Sosial Bina Laras Harapan Sentosa 2,2015-05-25T00:00:00.000000Z,4545577300.0,CV. PANGAN INDO
ocds-20h3g7-26679127,ocds-20h3g7-26679127-1,2015-05-25T00:00:00.000000Z,,D73,26679127,Penyediaan Makanan dan Minuman WBS PSBK Harapan Jaya,goods,1040542695.0,2015-05-13T00:00:00.000000Z,complete,26679127-1,Penyediaan Makanan dan Minuman WBS PSBK Harapan Jaya,2015-05-25T00:00:00.000000Z,889060100.0,CV.ALAM PERMAI
ocds-20h3g7-26680127,ocds-20h3g7-26680127-1,2015-05-21T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26680127,Pelaksanaan New Cities Summit 2015 di Jakarta,services,14595711900.0,2015-05-13T00:00:00.000000Z,complete,26680127-1,Pelaksanaan New Cities Summit 2015 di Jakarta,2015-05-21T00:00:00.000000Z,13655220700.0,PT. Multi Taruna Sejati
ocds-20h3g7-26681127,ocds-20h3g7-26681127-1,2015-05-21T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26681127,Penyelenggaraan Jakarta Carnaval (Jakarnaval),services,9965683750.0,2015-05-13T00:00:00.000000Z,complete,26681127-1,Penyelenggaraan Jakarta Carnaval (Jakarnaval),2015-05-21T00:00:00.000000Z,9169754000.0,PT. SHALITA CITRA MANDIRI
ocds-20h3g7-26683127,ocds-20h3g7-26683127-1,2015-05-29T00:00:00.000000Z,,D74,26683127,Penyediaan Makanan dan Minuman WBS Panti Sosial Asuhan Anak Putra Utama 1,goods,1070000000.0,2015-05-18T00:00:00.000000Z,complete,26683127-1,Penyediaan Makanan dan Minuman WBS Panti Sosial Asuhan Anak Putra Utama 1,2015-05-29T00:00:00.000000Z,950914564.0,CV. USAHA SELARAS
ocds-20h3g7-26686127,ocds-20h3g7-26686127-1,2015-05-22T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26686127,Festival Jakarta Great Sale (FJGS),services,2489683625.0,2015-05-15T00:00:00.000000Z,complete,26686127-1,Festival Jakarta Great Sale (FJGS),2015-05-22T00:00:00.000000Z,1964098290.0,PT. LENSA GLOBALINDO
ocds-20h3g7-26687127,ocds-20h3g7-26687127-1,2015-06-01T00:00:00.000000Z,,D71,26687127,Pemeliharaan Berkala Berat Jalan di Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan),services,196713000.0,2015-05-18T00:00:00.000000Z,complete,26687127-1,Pemeliharaan Berkala Berat Jalan di Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan),2015-06-01T00:00:00.000000Z,186879000.0,PT. ASIA JULI PRADANA
ocds-20h3g7-26689127,ocds-20h3g7-26689127-1,2015-06-01T00:00:00.000000Z,,D71,26689127,Pemeliharaan Berkala Berat Jalan di Kecamatan Kebayoran Baru (Jasa Konsultansi Pengawasan),services,190333000.0,2015-05-18T00:00:00.000000Z,complete,26689127-1,Pemeliharaan Berkala Berat Jalan di Kecamatan Kebayoran Baru (Jasa Konsultansi Pengawasan),2015-06-01T00:00:00.000000Z,169345000.0,PT. SAVA BINTANG PADANG
ocds-20h3g7-26690127,ocds-20h3g7-26690127-1,2015-06-03T00:00:00.000000Z,,D71,26690127,Pemeliharaan Berkala Berat Jalan Dikecamatan Kebayoran Lama (Jasa Konsultansi Pengawasan),services,196713000.0,2015-05-19T00:00:00.000000Z,complete,26690127-1,Pemeliharaan Berkala Berat Jalan Dikecamatan Kebayoran Lama (Jasa Konsultansi Pengawasan),2015-06-03T00:00:00.000000Z,170440000.0,PT. PLATO ISOIKI
