date,buyer_name,tender_title,mainprocurementcategory,tender_minvalue,tender_status,award_title,award_date,award_value,award_supplier,days_to_award,budget_utilization_ratio
2015-05-21,Pemerintah Daerah Provinsi Dki Jakarta,Pelaksanaan New Cities Summit 2015 Di Jakarta,Services,14595711900.0,Complete,Pelaksanaan New Cities Summit 2015 Di Jakarta,2015-05-21,13655220700.0,Pt. Multi Taruna Sejati,8,0.9355638692758795
2015-05-21,Pemerintah Daerah Provinsi Dki Jakarta,Penyelenggaraan Jakarta Carnaval (Jakarnaval),Services,9965683750.0,Complete,Penyelenggaraan Jakarta Carnaval (Jakarnaval),2015-05-21,9169754000.0,Pt. Shalita Citra Mandiri,8,0.9201329512387948
2015-05-29,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Asuhan Anak Putra Utama 1,Goods,1070000000.0,Complete,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Asuhan Anak Putra Utama 1,2015-05-29,950914564.0,Cv. Usaha Selaras,11,0.8887052
2015-05-22,Pemerintah Daerah Provinsi Dki Jakarta,Festival Jakarta Great Sale (Fjgs),Services,2489683625.0,Complete,Festival Jakarta Great Sale (Fjgs),2015-05-22,1964098290.0,Pt. Lensa Globalindo,7,0.7888947295462089
2015-06-01,Unknown Buyer,Pemeliharaan Berkala Berat Jalan Di Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan),Services,196713000.0,Complete,Pemeliharaan Berkala Berat Jalan Di Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan),2015-06-01,186879000.0,Pt. Asia Juli Pradana,14,0.9500083878543868
2015-06-01,Unknown Buyer,Pemeliharaan Berkala Berat Jalan Di Kecamatan Kebayoran Baru (Jasa Konsultansi Pengawasan),Services,190333000.0,Complete,Pemeliharaan Berkala Berat Jalan Di Kecamatan Kebayoran Baru (Jasa Konsultansi Pengawasan),2015-06-01,169345000.0,Pt. Sava Bintang Padang,14,0.8897301046061377
2015-06-03,Unknown Buyer,Pemeliharaan Berkala Berat Jalan Dikecamatan Kebayoran Lama (Jasa Konsultansi Pengawasan),Services,196713000.0,Complete,Pemeliharaan Berkala Berat Jalan Dikecamatan Kebayoran Lama (Jasa Konsultansi Pengawasan),2015-06-03,170440000.0,Pt. Plato Isoiki,15,0.8664399404208161
2015-06-04,Unknown Buyer,Pengadaan Jasa Konsultansi Badan Usaha  Pemeliharaan Berkala Berat Jalan Di Kecamatan Setiabudi  (Jasa Konsultansi Pengawasan),Services,137038000.0,Complete,Pengadaan Jasa Konsultansi Badan Usaha  Pemeliharaan Berkala Berat Jalan Di Kecamatan Setiabudi  (Jasa Konsultansi Pengawasan),2015-06-04,123695000.0,Pt. Bumi Madani,17,0.9026328463637823
2015-06-02,Unknown Buyer,Pemeliharaan Berkala Berat Jalan Di Kecamatan Cilandak (Jasa Konsultan Pengawasan),Services,190333000.0,Complete,Pemeliharaan Berkala Berat Jalan Di Kecamatan Cilandak (Jasa Konsultan Pengawasan),2015-06-02,174955000.0,Pt. Nabela Karya Abadi,14,0.9192047621799688
2015-05-29,Unknown Buyer,Belanja/Uang Makanan Dan Minuman Peserta/Petugas/Panitia,Services,1367799400.0,Complete,Belanja/Uang Makanan Dan Minuman Peserta/Petugas/Panitia,2015-05-29,1261898440.0,Pt. Cakra Wredhi Pratama,10,0.9225756642384841
2015-06-04,Pemerintah Daerah Provinsi Dki Jakarta,Penyediaan Makanan Dan Minuman Wbs Pstw Budi Mulia 3,Goods,884565080.0,Complete,Penyediaan Makanan Dan Minuman Wbs Pstw Budi Mulia 3,2015-06-04,800000737.0,Cv. Karina Lestari,15,0.9044000889114908
2015-06-24,Unknown Buyer,Pengawasan Penyelesaian Pembangunan Blok D Kantor Pemerintah Kota Administrasi Jakarta Pusat,Services,482597500.0,Complete,Pengawasan Penyelesaian Pembangunan Blok D Kantor Pemerintah Kota Administrasi Jakarta Pusat,2015-06-24,330000000.0,Pt. Tiramatsi Utama,36,0.6837996467035159
2015-05-29,Unknown Buyer,Belanja Jasa Konsultansi Pengawasan Pemeliharaan Berkala Berat Jalan Di Kecamatan Tebet,Services,190333000.0,Complete,Belanja Jasa Konsultansi Pengawasan Pemeliharaan Berkala Berat Jalan Di Kecamatan Tebet,2015-05-29,166040000.0,Pt. Plato Isoiki,10,0.8723658009908949
2015-05-29,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Perlindungan Bhakti Kasih,Goods,539655880.0,Complete,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Perlindungan Bhakti Kasih,2015-05-29,483006400.0,Cv. Afif Artha Mulia,10,0.8950266603228709
2015-06-01,Unknown Buyer,Belanja Sewa Tenda Penyelenggaran Pekan Rakyat Kota Jakarta Timur,Services,489390000.0,Complete,Belanja Sewa Tenda Penyelenggaran Pekan Rakyat Kota Jakarta Timur,2015-06-01,392260000.0,Cv. Rino Satria,11,0.8015284333558103
2015-06-09,Unknown Buyer,Pemasangan Jembatan Pipa Steel Diameter 300 Mm Jl. R.A. Kartini,Works,499259938.0,Complete,Pemasangan Jembatan Pipa Steel Diameter 300 Mm Jl. R.A. Kartini,2015-06-09,447883876.0,Pt. Kalibening Jaya Abadi,20,0.8970955646755698
2015-07-10,Unknown Buyer,Belanja Barang Pakai Habis Sandang,Goods,274308100.0,Complete,Belanja Barang Pakai Habis Sandang,2015-07-10,251866841.0,Cv. Sosor Lestari Jaya,11,0.9181895868186175
2015-06-01,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs Psbr Taruna Jaya,Goods,451664805.0,Complete,Penyediaan Makanan Dan Minuman Wbs Psbr Taruna Jaya,2015-06-01,432484800.0,Cv. Pelita Utama Mandiri,12,0.9575348692488891
2015-06-11,Unknown Buyer,Pengadaan Alat Tulis Kantor (Atk) Kebutuhan Pam Jaya,Goods,499378860.0,Complete,Pengadaan Alat Tulis Kantor (Atk) Kebutuhan Pam Jaya,2015-06-11,454942950.0,Cv. Laskar Sejati,20,0.9110176389925677
2015-06-05,Unknown Buyer,Belanja Bahan Pangan Panti Sosial Asuhan Anak Putra Utama 2,Goods,569132850.0,Complete,Belanja Bahan Pangan Panti Sosial Asuhan Anak Putra Utama 2,2015-06-05,505996000.0,Cv. Alam Pangan,15,0.8890648290640752
2015-06-04,Unknown Buyer,Belanja Bahan Dan Pangan (Penyediaan Makanan Dan Minuman Wbs Semester Ii Psaa Putra Utama 3),Goods,860715020.0,Complete,Belanja Bahan Dan Pangan (Penyediaan Makanan Dan Minuman Wbs Semester Ii Psaa Putra Utama 3),2015-06-04,740343888.0,Pt.Cipta Anugrah Bintang Subur,14,0.8601498414655294
2015-07-06,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sdn Kramat Jati 27,Services,242159500.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sdn Kramat Jati 27,2015-07-06,223995000.0,Pt.Saritama Purnama,45,0.9249895213691802
