Unnamed: 0,Akun,Anggaran/Pagu,Realisasi,%,Year
,Penerimaan Pinjaman Daerah,"7.429,01 M","2.335,89 M",31.44,2017
,,,,,2017
,Penerimaan Kembali Pemberian Pinjaman Daerah,"825,62 M","829,42 M",100.46,2017
,,,,,2017
,Pengeluaran Pembiayaan Daerah,"16.086,93 M","19.784,92 M",122.99,2017
,,,,,2017
,Pembentukan Dana Cadangan,"909,02 M","1.278,42 M",140.64,2017
,,,,,2017
,Penyertaan Modal Daerah,"11.006,12 M","13.742,00 M",124.86,2017
,,,,,2017
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"3.384,54 M","4.588,92 M",135.58,2017
,,,,,2017
,Pemberian Pinjaman Daerah,"303,52 M","156,32 M",51.5,2017
,,,,,2017
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"483,73 M","19,26 M",3.98,2017
,,,,,2017
,Pendapatan Daerah,"1.095.079,40 M","1.110.964,49 M",101.45,2018
,,,,,2018
,PAD,"269.908,54 M","272.981,06 M",101.14,2018
,,,,,2018
,Pajak Daerah,"184.807,47 M","194.189,58 M",105.08,2018
,,,,,2018
,Retribusi Daerah,"12.166,18 M","9.189,30 M",75.53,2018
,,,,,2018
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"8.536,15 M","7.838,54 M",91.83,2018
,,,,,2018
,Lain-Lain PAD yang Sah,"64.398,75 M","61.763,64 M",95.91,2018
,,,,,2018
,TKDD,"746.067,16 M","749.625,38 M",100.48,2018
,,,,,2018
,Pendapatan Transfer Pemerintah Pusat,"746.067,16 M","749.625,38 M",100.48,2018
,,,,,2018
,Pendapatan Transfer Antar Daerah,"44.348,55 M","52.076,71 M",117.43,2018
,,,,,2018
,Pendapatan Lainnya,"79.103,70 M","88.358,05 M",111.7,2018
,,,,,2018
,Pendapatan Hibah,"17.363,20 M","23.304,08 M",134.22,2018
,,,,,2018
,Dana Darurat,"952,87 M","9,67 M",1.01,2018
,,,,,2018
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"16.439,09 M","12.967,60 M",78.88,2018
,,,,,2018
,Belanja Daerah,"1.153.961,32 M","1.093.892,15 M",94.79,2018
,,,,,2018
,Belanja Pegawai,"410.587,08 M","368.348,36 M",89.71,2018
,,,,,2018
,Belanja Pegawai,"410.587,08 M","368.348,36 M",89.71,2018
,,,,,2018
,Belanja Barang Jasa,"270.587,25 M","268.068,09 M",99.07,2018
,,,,,2018
,Belanja Barang dan Jasa,"270.587,25 M","268.068,09 M",99.07,2018
,,,,,2018
,Belanja Modal,"223.655,67 M","203.509,70 M",90.99,2018
,,,,,2018
,Belanja Modal,"223.655,67 M","203.509,70 M",90.99,2018
,,,,,2018
,Belanja Lainnya,"249.131,33 M","253.966,00 M",101.94,2018
,,,,,2018
,Belanja Bagi Hasil,"42.480,50 M","46.757,95 M",110.07,2018
,,,,,2018
,Belanja Bantuan Keuangan,"116.054,17 M","112.852,29 M",97.24,2018
,,,,,2018
,Belanja Bunga,"827,65 M","306,13 M",36.99,2018
,,,,,2018
,Belanja Subsidi,"4.904,05 M","3.307,14 M",67.44,2018
,,,,,2018
,Belanja Hibah,"72.305,43 M","78.970,94 M",109.22,2018
,,,,,2018
,Belanja Bantuan Sosial,"10.028,29 M","11.012,44 M",109.81,2018
,,,,,2018
,Belanja Tidak Terduga,"2.531,23 M","759,11 M",29.99,2018
,,,,,2018
,Pembiayaan Daerah,"60.280,37 M","81.707,50 M",135.55,2018
,,,,,2018
,Penerimaan Pembiayaan Daerah,"74.017,11 M","97.009,23 M",131.06,2018
,,,,,2018
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"58.245,11 M","86.198,63 M",147.99,2018
,,,,,2018
,Pencairan Dana Cadangan,"2.493,59 M","2.165,12 M",86.83,2018
,,,,,2018
,Penjualan Kekayaan Daerah yang Dipisahkan,"0,50 M","374,98 M",74996.83,2018
,,,,,2018
,Penerimaan Pinjaman Daerah,"12.189,71 M","7.317,51 M",60.03,2018
,,,,,2018
,Penerimaan Kembali Pemberian Pinjaman Daerah,"183,78 M","914,82 M",497.79,2018
,,,,,2018
,Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"904,43 M","38,16 M",4.22,2018
,,,,,2018
,Pengeluaran Pembiayaan Daerah,"13.736,74 M","15.301,73 M",111.39,2018
,,,,,2018
,Pembentukan Dana Cadangan,"322,25 M","577,13 M",179.09,2018
,,,,,2018
,Penyertaan Modal Daerah,"9.640,90 M","11.429,71 M",118.55,2018
,,,,,2018
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"3.592,17 M","3.052,07 M",84.96,2018
,,,,,2018
,Pemberian Pinjaman Daerah,"112,08 M","186,43 M",166.34,2018
,,,,,2018
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"69,34 M","56,40 M",81.34,2018
,,,,,2018
,Pendapatan Daerah,"1.192.632,60 M","1.198.407,26 M",100.48,2019
,,,,,2019
,PAD,"295.522,48 M","293.659,55 M",99.37,2019
,,,,,2019
,Pajak Daerah,"208.768,79 M","208.938,20 M",100.08,2019
,,,,,2019
,Retribusi Daerah,"12.024,10 M","9.790,45 M",81.42,2019
,,,,,2019
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"9.151,21 M","8.876,87 M",97.0,2019
,,,,,2019
,Lain-Lain PAD yang Sah,"65.578,37 M","66.054,04 M",100.73,2019
,,,,,2019
,TKDD,"808.619,09 M","799.009,91 M",98.81,2019
,,,,,2019
,Pendapatan Transfer Pemerintah Pusat,"808.619,09 M","799.009,91 M",98.81,2019
,,,,,2019
,Pendapatan Transfer Antar Daerah,"51.834,67 M","64.525,32 M",124.48,2019
,,,,,2019
,Pendapatan Lainnya,"88.491,03 M","105.737,80 M",119.49,2019
,,,,,2019
,Pendapatan Hibah,"26.574,44 M","37.076,66 M",139.52,2019
,,,,,2019
,Dana Darurat,"0,00 M","20,94 M",0.0,2019
,,,,,2019
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"10.081,93 M","4.114,87 M",40.81,2019
,,,,,2019
,Belanja Daerah,"1.242.149,61 M","1.188.023,28 M",95.64,2019
,,,,,2019
,Belanja Pegawai,"432.837,55 M","384.969,02 M",88.94,2019
,,,,,2019
,Belanja Pegawai,"432.837,55 M","384.969,02 M",88.94,2019
,,,,,2019
,Belanja Barang Jasa,"301.368,57 M","304.786,76 M",101.13,2019
,,,,,2019
,Belanja Barang dan Jasa,"301.368,57 M","304.786,76 M",101.13,2019
,,,,,2019
,Belanja Modal,"238.368,92 M","218.913,81 M",91.84,2019
,,,,,2019
,Belanja Modal,"238.368,92 M","218.913,81 M",91.84,2019
,,,,,2019
,Belanja Lainnya,"269.574,57 M","279.353,70 M",103.63,2019
,,,,,2019
,Belanja Bagi Hasil,"50.374,30 M","55.933,58 M",111.04,2019
,,,,,2019
,Belanja Bantuan Keuangan,"133.611,57 M","132.928,34 M",99.49,2019
,,,,,2019
,Belanja Bunga,"739,53 M","419,58 M",56.74,2019
,,,,,2019
,Belanja Subsidi,"5.485,88 M","3.360,63 M",61.26,2019
,,,,,2019
,Belanja Hibah,"65.090,67 M","74.152,40 M",113.92,2019
,,,,,2019
,Belanja Bantuan Sosial,"10.450,30 M","11.691,83 M",111.88,2019
,,,,,2019
,Belanja Tidak Terduga,"3.822,31 M","867,34 M",22.69,2019
,,,,,2019
,Pembiayaan Daerah,"50.144,48 M","89.623,76 M",178.73,2019
,,,,,2019
,Penerimaan Pembiayaan Daerah,"67.032,87 M","106.988,07 M",159.61,2019
,,,,,2019
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"56.667,55 M","99.176,34 M",175.01,2019
,,,,,2019
,Pencairan Dana Cadangan,"317,13 M","278,56 M",87.84,2019
,,,,,2019
,Penjualan Kekayaan Daerah yang Dipisahkan,"47,45 M","5,26 M",11.09,2019
,,,,,2019
,Penerimaan Pinjaman Daerah,"9.388,02 M","6.754,56 M",71.95,2019
,,,,,2019
,Penerimaan Kembali Pemberian Pinjaman Daerah,"395,89 M","333,94 M",84.35,2019
,,,,,2019
,Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"216,83 M","439,41 M",202.66,2019
,,,,,2019
,Pengeluaran Pembiayaan Daerah,"16.888,39 M","17.364,31 M",102.82,2019
,,,,,2019
,Pembentukan Dana Cadangan,"314,89 M","644,10 M",204.55,2019
,,,,,2019
,Penyertaan Modal Daerah,"12.851,39 M","12.390,35 M",96.41,2019
,,,,,2019
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"3.214,14 M","4.134,51 M",128.64,2019
,,,,,2019
,Pemberian Pinjaman Daerah,"420,84 M","34,72 M",8.25,2019
,,,,,2019
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"87,14 M","160,64 M",184.34,2019
,,,,,2019
,Pendapatan Daerah,"1.239.751,05 M","1.115.490,41 M",89.98,2020
,,,,,2020
,PAD,"328.418,72 M","264.065,97 M",80.41,2020
,,,,,2020
,Pajak Daerah,"235.267,33 M","179.170,49 M",76.16,2020
,,,,,2020
,Retribusi Daerah,"12.816,70 M","8.410,25 M",65.62,2020
,,,,,2020
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"9.920,93 M","8.565,19 M",86.33,2020
,,,,,2020
,Lain-Lain PAD yang Sah,"70.413,75 M","67.920,04 M",96.46,2020
,,,,,2020
,TKDD,"815.561,95 M","752.398,11 M",92.26,2020
,,,,,2020
,Pendapatan Transfer Pemerintah Pusat,"815.561,95 M","752.398,11 M",92.26,2020
,,,,,2020
,Pendapatan Transfer Antar Daerah,"60.942,47 M","53.943,30 M",88.52,2020
,,,,,2020
,Pendapatan Lainnya,"95.770,38 M","99.026,33 M",103.4,2020
,,,,,2020
,Pendapatan Hibah,"28.408,19 M","39.422,33 M",138.77,2020
,,,,,2020
,Dana Darurat,"0,00 M","19,15 M",0.0,2020
,,,,,2020
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"6.419,72 M","5.641,55 M",87.88,2020
,,,,,2020
,Belanja Daerah,"1.300.354,25 M","1.121.957,88 M",86.28,2020
,,,,,2020
,Belanja Pegawai,"442.690,28 M","373.299,49 M",84.33,2020
,,,,,2020
,Belanja Pegawai,"442.690,28 M","373.299,49 M",84.33,2020
,,,,,2020
,Belanja Barang Jasa,"321.252,44 M","274.965,47 M",85.59,2020
,,,,,2020
,Belanja Barang dan Jasa,"321.252,44 M","274.965,47 M",85.59,2020
,,,,,2020
,Belanja Modal,"236.668,39 M","157.572,05 M",66.58,2020
,,,,,2020
,Belanja Modal,"236.668,39 M","157.572,05 M",66.58,2020
,,,,,2020
,Belanja Lainnya,"299.743,13 M","316.120,87 M",105.46,2020
,,,,,2020
,Belanja Bagi Hasil,"53.347,29 M","45.464,86 M",85.22,2020
,,,,,2020
,Belanja Bantuan Keuangan,"137.827,50 M","127.935,65 M",92.82,2020
,,,,,2020
,Belanja Bunga,"784,63 M","491,35 M",62.62,2020
,,,,,2020
,Belanja Subsidi,"6.234,03 M","4.248,36 M",68.15,2020
,,,,,2020
,Belanja Hibah,"85.701,48 M","88.688,79 M",103.49,2020
,,,,,2020
,Belanja Bantuan Sosial,"12.540,01 M","12.523,59 M",99.87,2020
,,,,,2020
,Belanja Lainnya,"0,00 M","67,76 M",0.0,2020
,,,,,2020
,Belanja Tidak Terduga,"3.308,18 M","36.700,52 M",1109.39,2020
,,,,,2020
,Pembiayaan Daerah,"61.005,81 M","101.091,97 M",165.71,2020
,,,,,2020
,Penerimaan Pembiayaan Daerah,"77.558,88 M","114.001,81 M",146.99,2020
,,,,,2020
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"66.183,93 M","99.786,26 M",150.77,2020
,,,,,2020
,Pencairan Dana Cadangan,"848,52 M","2.171,46 M",255.91,2020
,,,,,2020
,Penjualan Kekayaan Daerah yang Dipisahkan,"59,89 M","7,72 M",12.89,2020
,,,,,2020
,Penerimaan Pinjaman Daerah,"9.998,04 M","11.597,82 M",116.0,2020
,,,,,2020
,Penerimaan Kembali Pemberian Pinjaman Daerah,"128,01 M","0,66 M",0.51,2020
,,,,,2020
,Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"340,50 M","437,89 M",128.6,2020
,,,,,2020
,Pengeluaran Pembiayaan Daerah,"16.553,07 M","12.909,84 M",77.99,2020
,,,,,2020
,Pembentukan Dana Cadangan,"107,00 M","375,46 M",350.9,2020
,,,,,2020
,Penyertaan Modal Daerah,"11.562,00 M","8.788,56 M",76.01,2020
,,,,,2020
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"4.074,53 M","3.713,03 M",91.13,2020
,,,,,2020
,Pemberian Pinjaman Daerah,"548,86 M","24,18 M",4.4,2020
,,,,,2020
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"260,69 M","8,61 M",3.3,2020
,,,,,2020
,Pendapatan Daerah,"1.155.600,89 M","1.168.216,11 M",101.09,2021
,,,,,2021
,PAD,"310.168,14 M","297.009,78 M",95.76,2021
,,,,,2021
,Pajak Daerah,"217.504,16 M","199.306,00 M",91.63,2021
,,,,,2021
,Retribusi Daerah,"11.975,51 M","8.481,22 M",70.82,2021
,,,,,2021
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"9.621,46 M","9.480,63 M",98.54,2021
,,,,,2021
,Lain-Lain PAD yang Sah,"71.067,02 M","79.741,94 M",112.21,2021
,,,,,2021
,TKDD,"763.516,42 M","775.801,70 M",101.61,2021
,,,,,2021
,Pendapatan Transfer Pemerintah Pusat,"763.516,42 M","775.801,70 M",101.61,2021
,,,,,2021
,Pendapatan Transfer Antar Daerah,"51.971,19 M","60.102,06 M",115.64,2021
,,,,,2021
,Pendapatan Lainnya,"81.916,33 M","95.404,62 M",116.47,2021
,,,,,2021
,Pendapatan Hibah,"9.630,97 M","8.520,24 M",88.47,2021
,,,,,2021
,Dana Darurat,"0,00 M","277,47 M",0.0,2021
,,,,,2021
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"20.314,17 M","26.504,85 M",130.47,2021
,,,,,2021
,Belanja Daerah,"1.230.108,25 M","1.145.087,49 M",93.09,2021
,,,,,2021
,Belanja Pegawai,"410.848,11 M","376.032,43 M",91.53,2021
,,,,,2021
,Belanja Pegawai,"410.848,11 M","376.032,43 M",91.53,2021
,,,,,2021
,Belanja Barang Jasa,"327.837,87 M","315.811,52 M",96.33,2021
,,,,,2021
,Belanja Barang dan Jasa,"327.837,87 M","315.811,52 M",96.33,2021
,,,,,2021
,Belanja Modal,"196.815,17 M","167.354,14 M",85.03,2021
,,,,,2021
,Belanja Modal,"196.815,17 M","167.354,14 M",85.03,2021
,,,,,2021
,Belanja Lainnya,"294.607,09 M","285.889,40 M",97.04,2021
,,,,,2021
,Belanja Bagi Hasil,"48.816,32 M","52.077,28 M",106.68,2021
,,,,,2021
,Belanja Bantuan Keuangan,"132.910,65 M","126.228,47 M",94.97,2021
,,,,,2021
,Belanja Bunga,"955,54 M","639,17 M",66.89,2021
,,,,,2021
,Belanja Subsidi,"4.669,50 M","5.134,38 M",109.96,2021
,,,,,2021
,Belanja Hibah,"80.543,56 M","79.689,05 M",98.94,2021
,,,,,2021
,Belanja Bantuan Sosial,"14.622,12 M","13.281,70 M",90.83,2021
,,,,,2021
,Belanja Tidak Terduga,"12.089,40 M","8.839,35 M",73.12,2021
,,,,,2021
,Pembiayaan Daerah,"75.326,90 M","98.041,86 M",130.16,2021
,,,,,2021
,Penerimaan Pembiayaan Daerah,"96.280,22 M","112.691,13 M",117.04,2021
,,,,,2021
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"61.343,63 M","94.205,22 M",153.57,2021
,,,,,2021
,Pencairan Dana Cadangan,"124,15 M","48,82 M",39.33,2021
,,,,,2021
,Penjualan Kekayaan Daerah yang Dipisahkan,"20,09 M","191,25 M",951.79,2021
,,,,,2021
,Penerimaan Pinjaman Daerah,"34.583,61 M","17.977,16 M",51.98,2021
,,,,,2021
,Penerimaan Kembali Pemberian Pinjaman Daerah,"108,73 M","91,48 M",84.14,2021
,,,,,2021
,Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"100,00 M","177,19 M",177.19,2021
,,,,,2021
,Pengeluaran Pembiayaan Daerah,"20.953,32 M","14.649,27 M",69.91,2021
,,,,,2021
,Pembentukan Dana Cadangan,"568,84 M","488,03 M",85.79,2021
,,,,,2021
,Penyertaan Modal Daerah,"15.184,67 M","9.535,46 M",62.8,2021
,,,,,2021
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"4.825,05 M","4.263,06 M",88.35,2021
,,,,,2021
,Pemberian Pinjaman Daerah,"266,90 M","314,59 M",117.87,2021
,,,,,2021
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"107,85 M","48,13 M",44.63,2021
,,,,,2021
,Pendapatan Daerah,"1.137.851,30 M","1.190.943,23 M",104.67,2022
,,,,,2022
,PAD,"330.901,06 M","328.485,50 M",99.27,2022
,,,,,2022
,Pajak Daerah,"230.237,92 M","238.828,92 M",103.73,2022
,,,,,2022
,Retribusi Daerah,"13.979,90 M","8.530,69 M",61.02,2022
,,,,,2022
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"11.858,68 M","10.921,72 M",92.1,2022
,,,,,2022
,Lain-Lain PAD yang Sah,"74.824,56 M","70.204,17 M",93.83,2022
,,,,,2022
,TKDD,"738.175,80 M","778.239,35 M",105.43,2022
,,,,,2022
,Pendapatan Transfer Pemerintah Pusat,"738.175,80 M","778.239,35 M",105.43,2022
,,,,,2022
,Pendapatan Lainnya,"68.774,44 M","84.218,38 M",122.46,2022
,,,,,2022
,Pendapatan Hibah,"8.868,65 M","8.389,45 M",94.6,2022
,,,,,2022
,Dana Darurat,"0,00 M","1,00 M",0.0,2022
,,,,,2022
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"7.674,21 M","8.328,08 M",108.52,2022
,,,,,2022
,Pendapatan Transfer Antar Daerah,"52.231,58 M","67.499,86 M",129.23,2022
,,,,,2022
,Belanja Daerah,"1.200.873,86 M","1.187.937,74 M",98.92,2022
,,,,,2022
,Belanja Pegawai,"411.493,84 M","380.556,99 M",92.48,2022
,,,,,2022
,Belanja Pegawai,"411.493,84 M","380.556,99 M",92.48,2022
,,,,,2022
,Belanja Barang Jasa,"338.046,40 M","351.072,05 M",103.85,2022
,,,,,2022
,Belanja Barang dan Jasa,"338.046,40 M","351.072,05 M",103.85,2022
,,,,,2022
,Belanja Modal,"190.155,52 M","195.108,67 M",102.6,2022
,,,,,2022
,Belanja Modal,"190.155,52 M","195.108,67 M",102.6,2022
,,,,,2022
,Belanja Lainnya,"261.178,10 M","261.200,03 M",100.01,2022
,,,,,2022
,Belanja Bagi Hasil,"50.683,02 M","58.633,19 M",115.69,2022
,,,,,2022
,Belanja Bantuan Keuangan,"122.636,13 M","126.174,55 M",102.89,2022
,,,,,2022
,Belanja Bunga,"2.140,46 M","1.138,87 M",53.21,2022
,,,,,2022
,Belanja Subsidi,"6.039,49 M","6.737,71 M",111.56,2022
,,,,,2022
,Belanja Hibah,"51.894,79 M","52.702,08 M",101.56,2022
,,,,,2022
,Belanja Bantuan Sosial,"11.350,81 M","12.166,39 M",107.19,2022
,,,,,2022
,Belanja Tidak Terduga,"16.433,40 M","3.647,24 M",22.19,2022
,,,,,2022
,Pembiayaan Daerah,"62.316,22 M","120.120,93 M",192.76,2022
,,,,,2022
,Penerimaan Pembiayaan Daerah,"82.503,78 M","137.231,65 M",166.33,2022
,,,,,2022
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"62.822,39 M","120.460,96 M",191.75,2022
,,,,,2022
,Pencairan Dana Cadangan,"344,02 M","355,06 M",103.21,2022
,,,,,2022
,Penjualan Kekayaan Daerah yang Dipisahkan,"169,29 M","18,36 M",10.85,2022
,,,,,2022
,Penerimaan Pinjaman Daerah,"18.550,97 M","15.837,35 M",85.37,2022
,,,,,2022
,Penerimaan Kembali Pemberian Pinjaman Daerah,"567,11 M","537,51 M",94.78,2022
,,,,,2022
,Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"50,00 M","22,40 M",44.8,2022
,,,,,2022
,Pengeluaran Pembiayaan Daerah,"20.187,56 M","17.110,72 M",84.76,2022
,,,,,2022
,Pembentukan Dana Cadangan,"1.638,65 M","2.043,87 M",124.73,2022
,,,,,2022
,Penyertaan Modal Daerah,"10.956,79 M","9.153,81 M",83.54,2022
,,,,,2022
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"7.138,34 M","5.805,91 M",81.33,2022
,,,,,2022
,Pemberian Pinjaman Daerah,"358,56 M","79,63 M",22.21,2022
,,,,,2022
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"95,22 M","27,51 M",28.89,2022
,,,,,2022
,Pendapatan Daerah,"1.228.777,53 M","285.933,90 M",23.27,2023
,,,,,2023
,PAD,"360.569,31 M","85.140,22 M",23.61,2023
,,,,,2023
,Pajak Daerah,"255.696,93 M","66.687,76 M",26.08,2023
,,,,,2023
,Retribusi Daerah,"12.965,10 M","2.314,39 M",17.85,2023
,,,,,2023
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"14.371,24 M","1.101,73 M",7.67,2023
,,,,,2023
,Lain-Lain PAD yang Sah,"77.536,04 M","15.036,34 M",19.39,2023
,,,,,2023
,TKDD,"794.270,95 M","190.894,98 M",24.03,2023
,,,,,2023
,Pendapatan Transfer Pemerintah Pusat,"794.270,95 M","190.894,98 M",24.03,2023
,,,,,2023
,Pendapatan Lainnya,"73.937,27 M","9.898,70 M",13.39,2023
,,,,,2023
,Pendapatan Hibah,"6.717,35 M","158,84 M",2.36,2023
,,,,,2023
,Dana Darurat,"0,00 M","0,18 M",0.0,2023
,,,,,2023
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"6.125,23 M","701,17 M",11.45,2023
,,,,,2023
,Pendapatan Transfer Antar Daerah,"61.094,69 M","9.038,51 M",14.79,2023
,,,,,2023
,Belanja Daerah,"1.286.185,03 M","145.092,58 M",11.28,2023
,,,,,2023
,Belanja Pegawai,"427.416,34 M","79.255,75 M",18.54,2023
,,,,,2023
,Belanja Pegawai,"427.416,34 M","79.255,75 M",18.54,2023
,,,,,2023
,Belanja Barang dan Jasa,"370.116,79 M","32.353,39 M",8.74,2023
,,,,,2023
,Belanja Barang dan Jasa,"370.116,79 M","32.353,39 M",8.74,2023
,,,,,2023
,Belanja Modal,"213.478,06 M","3.807,90 M",1.78,2023
,,,,,2023
,Belanja Modal,"213.478,06 M","3.807,90 M",1.78,2023
,,,,,2023
,Belanja Lainnya,"275.173,85 M","29.675,55 M",10.78,2023
,,,,,2023
,Belanja Bagi Hasil,"60.193,94 M","9.042,65 M",15.02,2023
,,,,,2023
,Belanja Bantuan Keuangan,"129.027,83 M","15.386,24 M",11.92,2023
,,,,,2023
,Belanja Bunga,"1.577,12 M","454,21 M",28.8,2023
,,,,,2023
,Belanja Subsidi,"6.556,54 M","146,98 M",2.24,2023
,,,,,2023
,Belanja Hibah,"56.400,26 M","3.829,74 M",6.79,2023
,,,,,2023
,Belanja Bantuan Sosial,"10.825,07 M","345,91 M",3.2,2023
,,,,,2023
,Belanja Tidak Terduga,"10.593,09 M","469,82 M",4.44,2023
,,,,,2023
,Pembiayaan Daerah,"57.630,36 M","115.953,65 M",201.2,2023
,,,,,2023
,Penerimaan Pembiayaan Daerah,"83.783,29 M","116.731,25 M",139.33,2023
,,,,,2023
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"77.661,39 M","116.731,25 M",150.31,2023
,,,,,2023
,Pencairan Dana Cadangan,"595,95 M","0,00 M",0.0,2023
,,,,,2023
,Penjualan Kekayaan Daerah yang Dipisahkan,"3,08 M","2,60 M",84.45,2023
,,,,,2023
,Penerimaan Pinjaman Daerah,"5.415,78 M","784,03 M",14.48,2023
,,,,,2023
,Penerimaan Kembali Pemberian Pinjaman Daerah,"107,09 M","3,82 M",3.57,2023
,,,,,2023
,Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0.0,2023
,,,,,2023
,Pengeluaran Pembiayaan Daerah,"26.152,93 M","784,03 M",3.0,2023
,,,,,2023
,Pembentukan Dana Cadangan,"4.752,65 M","505,38 M",10.63,2023
,,,,,2023
,Penyertaan Modal Daerah,"11.596,20 M","1.892,51 M",16.32,2023
,,,,,2023
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"9.530,57 M","2.588,67 M",27.16,2023
,,,,,2023
,Pemberian Pinjaman Daerah,"271,21 M","2,00 M",0.74,2023
,,,,,2023
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"2,31 M","0,00 M",0.0,2023
,,,,,2023
,Penerimaan Pembiayaan Lainnya,"0,00 M","6,42 M",0.0,2023
,,,,,2023
,Penyertaan Modal,"0,00 M","1.892,51 M",0.0,2023
,,,,,2023
,Pembayaaran Pokok Utang,"0,00 M","2.588,67 M",0.0,2023
,,,,,2023
,Pengeluaran Pembiayaan Lainnya,"0,00 M","507,38 M",0.0,2023
,,,,,2023
,Pendapatan Daerah,"1.364.470,16 M","173.524,82 M",12.72,2024
,,,,,2024
,PAD,"394.877,08 M","50.381,38 M",12.76,2024
,,,,,2024
,Pajak Daerah,"283.532,30 M","35.623,72 M",12.56,2024
,,,,,2024
,Retribusi Daerah,"46.147,12 M","5.759,35 M",12.48,2024
,,,,,2024
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"14.616,27 M","2.338,77 M",16.0,2024
,,,,,2024
,Lain-Lain PAD yang Sah,"50.581,39 M","6.659,54 M",13.17,2024
,,,,,2024
,TKDD,"882.154,03 M","120.099,34 M",13.61,2024
,,,,,2024
,Pendapatan Transfer Pemerintah Pusat,"882.154,03 M","120.099,34 M",13.61,2024
,,,,,2024
,Pendapatan Lainnya,"87.439,04 M","3.044,11 M",3.48,2024
,,,,,2024
,Pendapatan Hibah,"6.833,66 M","29,86 M",0.44,2024
,,,,,2024
,Dana Darurat,"0,50 M","0,00 M",0.0,2024
,,,,,2024
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"6.061,54 M","292,66 M",4.83,2024
,,,,,2024
,Pendapatan Transfer Antar Daerah,"74.543,34 M","2.721,59 M",3.65,2024
,,,,,2024
,Belanja Daerah,"1.440.462,07 M","80.954,77 M",5.62,2024
,,,,,2024
,Belanja Pegawai,"467.286,52 M","43.651,41 M",9.34,2024
,,,,,2024
,Belanja Pegawai,"467.286,52 M","43.651,41 M",9.34,2024
,,,,,2024
,Belanja Barang dan Jasa,"415.509,64 M","19.030,49 M",4.58,2024
,,,,,2024
,Belanja Barang dan Jasa,"415.509,64 M","19.030,49 M",4.58,2024
,,,,,2024
,Belanja Modal,"238.185,78 M","2.159,07 M",0.91,2024
,,,,,2024
,Belanja Modal,"238.185,78 M","2.159,07 M",0.91,2024
,,,,,2024
,Belanja Lainnya,"319.480,13 M","16.113,79 M",5.04,2024
,,,,,2024
