Unnamed: 0,Akun,Anggaran/Pagu,Realisasi,%,Year
,Belanja Hibah,"37.921,24 M","46.218,79 M",121.88,2012
,,,,,2012
,Belanja Bantuan Sosial,"6.501,33 M","5.920,20 M",91.06,2012
,,,,,2012
,Belanja Bagi Hasil,"19.593,28 M","23.878,99 M",121.87,2012
,,,,,2012
,Belanja Bantuan Keuangan,"28.834,41 M","28.037,54 M",97.24,2012
,,,,,2012
,Belanja Tidak Terduga,"2.601,94 M","1.003,21 M",38.56,2012
,,,,,2012
,Pembiayaan,"63.116,11 M","92.035,91 M",145.82,2012
,,,,,2012
,Penerimaan Pembiayaan,"52.117,91 M","81.430,64 M",156.24,2012
,,,,,2012
,SiLPA TA Sebelumnya,"47.193,08 M","78.796,03 M",166.97,2012
,,,,,2012
,Pencairan Dana Cadangan,"943,50 M","1.145,47 M",121.41,2012
,,,,,2012
,Penjualan Kekayaan Daerah yang Dipisahkan,"94,70 M","79,27 M",83.7,2012
,,,,,2012
,Penerimaan Pinjaman Daerah,"3.339,90 M","737,75 M",22.09,2012
,,,,,2012
,Penerimaan Kembali Pemberian Pinjaman,"546,73 M","672,11 M",122.93,2012
,,,,,2012
,Pengeluaran Pembiayaan,"-10.998,20 M","-10.605,27 M",96.43,2012
,,,,,2012
,Pembentukan Dana Cadangan,"-1.475,55 M","-1.865,55 M",126.43,2012
,,,,,2012
,Penyertaan Modal,"-6.383,83 M","-5.640,38 M",88.35,2012
,,,,,2012
,Pembayaran Pokok Utang,"-2.186,11 M","-2.597,40 M",118.81,2012
,,,,,2012
,Pemberian Pinjaman Daerah,"-460,82 M","-241,93 M",52.5,2012
,,,,,2012
,Pembayaran Kegiatan Lanjutan,"-225,03 M","0,00 M",0.0,2012
,,,,,2012
,Pengeluaran Perhitungan Pihak Ketiga,"-266,85 M","-260,02 M",97.44,2012
,,,,,2012
,Pendapatan,"683.302,73 M","726.927,66 M",106.38,2013
,,,,,2013
,PAD,"140.328,22 M","158.056,52 M",112.63,2013
,,,,,2013
,Pajak Daerah,"102.523,04 M","115.462,70 M",112.62,2013
,,,,,2013
,Retribusi Daerah,"10.505,25 M","9.765,97 M",92.96,2013
,,,,,2013
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"5.852,84 M","5.725,44 M",97.82,2013
