lspe_id,nama_daerah,status,artifact_subdir,total_rows,train_rows,test_rows,train_ratio_actual,cutoff_date,train_end_date,test_start_date,medium_cutoff,anomaly_threshold,train_anomaly_rate,test_anomaly_rate
127,Jakarta,trained,by_daerah\jakarta_127,8678,7376,1302,0.8499654298225398,2022-03-24,2022-03-23,2022-03-24,0.46211583411703916,0.5819433760068418,0.03009761388286334,0.028417818740399385
42,Jawa Tengah,trained,by_daerah\jawa_tengah_42,6038,3410,100,0.5647565419012918,2023-05-04,2023-05-03,2023-05-04,0.45801716448955926,0.5876663748116363,0.030205278592375366,0.02
15,Jawa Timur,trained,by_daerah\jawa_timur_15,6440,2986,100,0.46366459627329193,2017-09-08,2017-09-07,2017-09-08,0.46942996416383587,0.5735627218347938,0.03014065639651708,0.06
