raw_feature,mean_abs_shap
mainprocurementcategory,0.42035570991922644
award_quarter,0.1933931153822833
value_gap,0.16841740688750675
award_title_word_count,0.1649593451332194
award_value_per_day,0.1621408452193519
tender_minvalue,0.16158999209773267
award_month,0.14861164749641642
title_word_count,0.1473417612884044
days_to_award,0.14194665215495414
log_tender_minvalue,0.13670572769753936
award_value,0.12629406539941346
log_award_value,0.11942135594364646
award_weekday,0.09659336922321532
budget_utilization_ratio,0.07527087126723442
supplier_count,0.02313118686636141
same_day_award_flag,0.00026631289032639523
