raw_feature,importance_mean,importance_std
award_value_per_day,0.25383334196387736,0.00860017865923006
log_tender_minvalue,0.12407781063873635,0.00211628746844944
mainprocurementcategory,0.12075980142846024,0.006792714355906297
tender_minvalue,0.11735302858597714,0.002114829831374171
award_month,0.053151527375494854,0.0027640459095458285
title_word_count,0.04300292866170404,0.0006342293939444917
award_title_word_count,0.04064643590573229,0.0007247938648585762
award_quarter,0.02636823140050317,0.001445115851321049
days_to_award,0.017911369265248077,0.0012285413436484147
value_gap,0.01731004520405204,0.0011475272044485871
log_award_value,0.011922543056232937,0.0006134645774408521
budget_utilization_ratio,0.01186001206294297,0.0009676058429187812
award_value,0.011490928761128328,0.0005487445627566602
award_weekday,0.008407454657173763,0.00036751230940618336
supplier_count,0.00012403834586708352,8.75239903498513e-05
same_day_award_flag,0.0,0.0
